Blum Blum Shub
40,0.0026483535766601562
56,0.003381490707397461
80,0.0051386356353759766
128,0.008024930953979492
168,0.010246515274047852
224,0.016588449478149414
256,0.015246152877807617
512,0.02987194061279297
1024,0.06083369255065918
2048,0.12129807472229004
4096,0.24558353424072266
Park-Miller
40,0.0015950202941894531
56,0.002144336700439453
80,0.003233194351196289
128,0.004947662353515625
168,0.006452798843383789
224,0.008760452270507812
256,0.009567022323608398
512,0.019697904586791992
1024,0.039624929428100586
2048,0.07874274253845215
4096,0.1587367057800293
